,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
max,0.109166272838133,0.14971101368989442,0.3455248370030079,0.3069500078752163,38650.01457387812,234800.03927355495,44384.74095050646,1089334.6262593677,3010050.0037110485,55638.46606671368,0.10662964551685723,2.4646160923487295,0.13292280742053303,0.0306061574079366,12649.997802142625,0.021898279379608285,0.012653377608420056,0.019256304997997086,0.05169870390614655,0.022588812206457195,0.019675834641758042,0.015147834413316854,92350.00014332151
min,0.0001089588423577,1.113988486958895e-05,0.000171357898904,1.339529505531814e-24,2.810729489227655e-05,1.810953402283309e-05,2.748088753760701e-05,8.739396534625e-06,9.228168704260125e-06,5.717350498866866e-06,3.3407280947574136e-06,7.922735495483839e-06,9.831688422547127e-06,3.9769189620232095e-06,3.880254914798561e-06,4.4256528044655e-06,8.684891280068252e-06,8.560810875998987e-06,2.0697364106698295e-05,2.6340444127579215e-05,2.3617455185967102e-05,1.720693612369313e-05,1.5053410423999663e-05
mean,0.003908774598421581,0.0029248200315885645,0.016791085123214033,0.004314168122538022,18.604578454179293,220.43134031979,9.61747603730688,194.45874565873385,1389.8272467396166,34.99802426067724,0.003155769333619649,0.0038108220578534787,0.00226210562723685,0.0009029912425012755,6.833268265009518,0.0007133891938364069,0.0005301515383423571,0.0005513646725053068,0.0008869797876402323,0.0008773619485578452,0.000867396523928221,0.0005719367829231862,33.92314764055808
median,0.002745226663561202,0.0021460976583691353,0.0077851466026966475,0.0027392629912412845,0.004962909885675142,0.01075259617240913,0.010774723607212409,0.0043884809085422884,0.00540684650084037,0.002173033556056341,0.0027718498105401895,0.003140556488633495,0.001623255408572662,0.0006040622737091542,0.00046093833255150026,0.0005573848462027318,0.0003431703399236394,0.00023623398987734348,0.0006051518253477803,0.0005711579361674529,0.0005408785523607128,0.0003677312424888345,0.00036476194771178466
