,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
max,1800671.0503662243,501049508.2422767,199501.73601862264,663041.8433620104,33321162394.879593,5.0292205324982484e+48,1.6604803933190282e+17,1711189292049.1333,20363348510679.402,580085935302582.0,4017087.3708917573,12094390.978217272,2416283.0209662695,123006.86669237925,398185503.72844225,15787965.748295086,21721572.518056925,225741.98710279132,2766792.0694363485,10802978.444975277,20745.34189274032,418586.96331422165,12933698351.710453
min,0.0095658675385874,0.0008791620194038387,0.0177985544527992,2.937256964640395e-15,0.0005591476079179,0.0002984994682354,0.010930145872229749,0.02403788661280596,0.0059286293800886,0.0026256580726484,0.01551735249783585,0.0061563719427918,0.010755376578713933,0.0041842547898757,0.0054599031952189,0.0012129359355384,0.0011261514594112,0.0015631897258808,0.005569482978392634,0.00587531456982545,0.0046360291731789,0.0045915469639728,0.0049414606877705
mean,268.4804941879839,27370.115268680966,61.70933860777664,430.59269387363616,6363789.023881795,1.2783552605513691e+44,51024946879661.85,227779083.5848973,7524706234.211124,95105080801.40953,269.9231746794335,1192.2469190185525,261.7274253637835,42.207911786216556,71964.96428575733,955.7216740735711,4317.47317018522,73.950171668126,183.71966577272198,366.0652355811551,61.878885065258196,1105.0911337034875,5591578.145169988
median,1.2322882543843896,0.8497561707401606,1.417227535130627,1.1695756947852254,2.827137040952163,1.6558167812041742,1.985944323626125,3.4657080363534143,1.9171071690971047,1.412332676572709,2.0401284571151015,1.8320085456973247,2.2700259217951455,2.125502719450901,2.1976592400587935,2.217484247764922,1.7101422883098112,1.5567915744399454,1.8227713495004774,1.8058351220874957,1.8503060963508189,2.328837072471698,1.6909344494634997
