,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
max,1971684676.0294054,119433933941906.75,2164013233.6203923,5.315780775039391e+17,9743507597097.473,1.003059168707668e+53,2.8727717264505968e+17,2458505213026100.5,28711139443271.145,6471420883582789.0,647211520477.6614,534561018.81696576,6702545031074.27,3701139537.0105405,2767774717135.846,6209809186.758367,561981497163.1155,3653019546.3140564,136710351.1757042,821039780268224.1,234166991.8960534,47779571161.462234,5272835869189436.0
min,0.0072416078007138,0.0002845736749605461,0.024725175269644913,7.147611243504743e-14,0.0011786582513359,4.332718513722505e-05,0.0139175951161271,0.0375946911458239,0.023173193849781,0.0001719729521227,0.0050750843548939,7.008861767282815e-05,0.0001691871673011,0.0001982694499813,0.0025590605818741,6.952901536606331e-05,0.00012929188257305,0.0003636866313484,0.00174505472809725,0.0009245953564937,0.0003180108645095,0.0001785050311031,0.0002567906595333
mean,223973.02393807197,2873698273.467708,43383.974755830364,90033011957039.92,205528823.06611347,3.6593319763633036e+48,24594380767286.043,450671358500.40155,6412951142.040467,8791067149504.313,34637435.77629975,45822.533083279755,255662992.30570045,204095.56493138705,1053003702.7787515,440584.68137477105,15116851.30807153,463859.28509523964,9445.868633650163,31285391940.725094,47007.492386310354,943607.1204195472,1912062537597.8364
median,1.4200856755633464,0.898920752337943,0.899260312712214,0.9300320625755443,2.9935435152751046,1.5731284554510359,1.1885429337461357,3.2737587205647207,1.2839707921497288,1.0019225853743938,1.5648368221735938,1.7819181827791182,1.676222271040759,1.8122615714702042,1.8173450148193284,1.6265792816895732,1.6298536207945633,2.0917092334871263,2.5144054314665736,1.912126721502101,1.652074498770359,2.093124625271846,1.540581360953052
