,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
max,0.000993508573912826,0.0008871276986842421,0.0009767551321541,0.001964778154687388,14.367653787904372,211.15616031589465,342.06570493167595,1023.4215113528495,2206.477362982573,35.14657522901252,0.012285107161747631,0.006887466531958542,0.008926148809656727,0.000640708519389572,186.92603773747098,0.00017858483596330975,0.00029282916816446644,0.0004318228273590816,0.0001770656158030643,0.00023810742730982524,0.00026430553861276365,0.0003164940463953888,321.75480117855
min,3.1663311441933824e-07,2.221150448364463e-08,3.887575202872098e-07,6.472949821191243e-23,1.314491184412049e-07,5.8242440210845374e-08,1.5661576033254729e-07,9.647038118198e-08,7.535918678667729e-08,7.812228179895712e-08,2.061849068791706e-08,7.035001786119138e-08,7.592239544426244e-08,4.049884216284067e-08,2.1042183697118852e-08,5.937372415266047e-08,6.72158859497214e-08,5.08678973387838e-08,6.792738298652751e-08,7.915251899577992e-08,6.335722550099135e-08,1.1503096990597183e-08,5.135911990775905e-08
mean,5.363414030439689e-06,3.946773033611896e-06,3.6962716380471765e-05,9.888064155502058e-06,0.014930195713852422,0.13549990267896292,0.06409739560061559,0.22143725466658296,1.6248882488322336,0.02737216246934981,9.025242309327745e-06,3.377334311566732e-05,1.8572540740989455e-05,3.228402020604727e-06,0.08163253028468212,1.8102014754653184e-06,2.6801742891686493e-06,2.1791194340802644e-06,1.0045662031068161e-05,4.827344039935832e-06,3.0407404825522024e-06,2.1424206080877228e-06,0.11407088968986306
median,2.594138678022465e-06,1.8820341302139744e-06,5.864256365966942e-06,2.2211522128887526e-06,9.012066738344702e-06,1.946663536243551e-05,1.0464281435607471e-05,6.987743634454256e-06,4.523697057402608e-06,5.659084074356177e-06,2.211395048093275e-06,4.032580806394743e-06,2.9861684784650284e-06,8.853972478760234e-07,7.594206226294727e-07,8.901613767813092e-07,7.894474584164985e-07,5.955571778021231e-07,1.5513626842526867e-06,9.591496373591219e-07,8.516461187215514e-07,5.524140330466793e-07,6.200384609285361e-07
