,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
max,4.283524963417259,3.9845378951062176,9.762222185019423,5.670965536367903,4.579814487999837,5.110361515677852,12.081909544895549,5.992803206276473,28.478130642440743,14.794213029870747,137.1517162844744,4.514073937238163,5.753069011533148,4.977089002021492,5.614089245623667,3.7640692575770576,3.796643946673904,3.4417381242574288,3.3133868284728196,3.3730466041659115,4.672021571645914,3.954353777738225,4.579907766702018
min,0.4038245526112856,0.3783024776574987,0.3835560404204546,0.1718831952255351,0.4171467116297299,0.3480147316224683,0.4070135621989286,0.5618581549885584,0.25735512567104607,0.5963360174475804,0.7328695741953309,0.2428648493702992,0.516021318716289,0.6273352677401923,0.206077910710787,0.3987345030060902,0.3840191071330239,0.371464789276318,0.3773377223230905,0.2243525015808762,0.47128276668075,0.3614961360200208,0.036283348263885
mean,1.1814274796904627,1.1115049702012036,1.1900503220530507,1.2007042382213877,1.4634975643559236,1.8270464602310281,1.4829085616332405,1.3747573704867773,1.3881811698790825,1.4833518064926505,1.4650647556900125,1.3751237968463332,1.3962823999366043,1.3944300554532951,1.3225490100259008,1.3299363626785203,1.4615587376951367,1.4723612632874106,1.2598282981512767,1.2289830663484307,1.3328502191671978,1.4207920041212445,1.5047936170908116
median,1.137703849987643,1.0671623508799304,1.163811363424093,1.1714042967899312,1.1837600761534433,1.801325746189591,1.4364984236687854,1.2947341380888886,1.3551964877851919,1.460946682609002,1.4297852262311521,1.3461424945081257,1.3673465784280612,1.375330054472905,1.2909616681225198,1.2958747693984292,1.4266083415735622,1.4806050986033257,1.2388212566583943,1.2055164528422622,1.3185467489668297,1.4067407060456727,1.4781838819275945
