,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
max,230628934.26695022,11003818.242876157,1243911.3993577012,58366979.253615804,6196493.136629119,3.841346227314215e+41,2.0850711837880698e+17,1651921783984452.2,8796773055059292.0,2.967960362758025e+16,831500.2234117817,4704827454.988194,405567953145.23334,4718296.824743825,154878380378475.22,5691551.245994761,1070225464.3286332,16877.761791045887,2486514.501243112,153920.30208628823,121004.17391282566,282337.51092767256,108959529314701.69
min,0.0113672558528524,1.8694066922507877e-05,0.0172510148069455,1.206719003215494e-15,0.0003932436374099,0.0001641820092565,0.007194032632940481,0.009660750804328823,0.0018831712337718,0.0002117789345386,0.0011721581777207,3.840627588194965e-06,0.0012355819583431,8.256710067284182e-05,0.0015489956568076,0.0003503514418743,0.00032383030082125,0.0005621694654166,0.0015975573906219336,0.0003367051436235,0.0015385743911802,0.0003090951141687,0.0012646667107625
mean,36655.75500475353,4888.958179947777,527.7277561834962,3338.7686569986927,9928.49541760434,1.3347172121203252e+37,33923958291199.61,352539549723.5143,1755385193213.7717,47382092191125.81,212.72644859807968,169289.92912050293,15468464.577012854,316.61342372324947,68585413930.17289,479.4915928128261,268594.0881669042,21.31570812867736,314.151814374947,62.8132384021689,32.06030462175578,73.74100903288527,172664177670.2851
median,1.3119539600029921,0.9363188232698778,2.236756331358703,1.256257191872507,1.5332043263436799,1.849665436302261,1.5218756910713966,3.8206759754160027,2.1640689732424705,1.3437380971748714,1.7180976900239027,1.8148572547676394,2.3043046456859555,2.821076625069489,1.838838182202308,1.8578693715728822,2.01453526444576,2.7725304405308098,1.4916110805573928,1.467347265573328,1.6899776327438056,2.5218984807638187,1.975028663277703
